Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over
....Total,19724,10224,789,1948,1076,873,1345,672,673,2302,935,1367,3841,1734,2107,9500,4197,2123,2074,5303
"Under $5,000",1215,782,78,137,71,66,110,55,54,137,64,73,320,156,163,433,171,88,84,262
"$5,000 to $9,999",1405,774,89,75,50,25,36,18,18,175,60,115,398,184,214,632,265,116,149,367
"$10,000 to $14,999",2566,937,104,112,73,39,111,52,59,186,70,116,424,168,256,1629,657,323,334,973
"$15,000 to $19,999",2315,729,64,111,53,58,97,48,49,160,45,115,297,131,165,1586,564,269,296,1022
"$20,000 to $24,999",1838,640,90,121,69,52,65,34,31,113,49,64,251,115,136,1197,487,225,262,710
"$25,000 to $29,999",1470,638,80,177,110,67,79,45,34,144,47,97,158,60,98,832,318,166,152,514
"$30,000 to $34,999",1208,665,71,199,125,74,83,38,45,143,57,85,169,84,84,544,237,123,114,307
"$35,000 to $39,999",1043,593,67,103,59,44,85,53,32,126,51,75,213,76,137,450,218,108,110,232
"$40,000 to $44,999",879,562,54,153,96,56,51,20,31,123,53,70,182,104,78,317,176,92,84,141
"$45,000 to $49,999",823,515,17,118,57,61,64,32,32,113,60,54,203,70,133,308,155,76,78,153
"$50,000 to $54,999",720,451,12,116,61,55,66,30,37,104,37,68,152,78,74,269,145,70,75,124
"$55,000 to $59,999",527,302,0,55,37,18,54,25,29,81,32,49,111,42,69,225,135,86,49,90
"$60,000 to $64,999",434,325,21,76,51,25,59,39,21,82,40,42,87,35,52,109,70,30,39,39
"$65,000 to $69,999",419,299,9,60,34,26,39,14,25,82,39,43,109,52,57,120,79,48,31,41
"$70,000 to $74,999",361,185,0,35,13,23,28,11,17,53,20,33,68,18,51,176,115,67,48,61
"$75,000 to $79,999",370,273,5,41,15,26,46,32,14,76,46,30,105,64,41,97,62,33,29,35
"$80,000 to $84,999",318,263,1,61,43,18,61,36,25,70,28,42,70,33,37,55,40,27,13,15
"$85,000 to $89,999",242,161,0,21,9,13,21,9,13,44,30,14,75,31,43,81,53,25,28,28
"$90,000 to $94,999",204,133,7,19,3,15,23,10,13,21,9,12,63,38,25,71,45,27,17,27
"$95,000 to $99,999",149,111,0,20,9,11,24,8,16,33,21,12,34,16,18,38,22,18,4,16
"$100,000 to $104,999",152,132,4,21,6,14,18,0,18,49,21,28,40,20,20,20,8,5,3,12
"$105,000 to $109,999",89,40,0,16,4,12,4,2,2,9,0,9,12,4,8,48,22,15,7,27
"$110,000 to $114,999",118,82,3,16,7,10,9,0,8,10,2,8,44,17,27,36,24,15,9,12
"$115,000 to $119,999",80,60,0,13,0,13,17,15,2,16,5,11,14,7,7,20,17,10,7,3
"$120,000 to $124,999",106,74,3,15,7,8,25,16,9,13,8,6,18,8,10,31,20,14,6,11
"$125,000 to $129,999",82,67,0,8,1,8,6,1,5,20,4,16,33,4,29,15,8,5,4,6
"$130,000 to $134,999",53,42,0,8,1,8,0,0,0,15,0,14,18,9,10,12,8,8,0,3
"$135,000 to $139,999",28,24,0,2,0,2,9,4,6,4,4,0,8,5,3,4,4,4,0,0
"$140,000 to $144,999",67,42,2,5,3,2,6,3,3,9,7,3,19,14,5,25,11,4,7,14
"$145,000 to $149,999",34,23,0,8,0,8,5,0,5,4,0,4,5,5,0,11,6,5,1,6
"$150,000 to $154,999",48,39,4,0,0,0,4,0,4,14,2,12,17,12,5,9,4,0,3,5
"$155,000 to $159,999",16,14,0,1,1,0,1,1,0,3,0,3,9,0,9,2,1,0,1,0
"$160,000 to $164,999",20,16,0,2,0,2,1,1,0,0,0,0,12,8,3,4,4,0,4,0
"$165,000 to $169,999",39,29,0,0,0,0,7,3,4,12,4,8,10,4,5,10,4,0,4,6
"$170,000 to $174,999",25,23,0,2,2,0,11,7,4,6,6,0,4,4,0,1,1,1,0,0
"$175,000 to $179,999",13,8,0,4,0,4,3,2,0,0,0,0,2,2,0,4,0,0,0,4
"$180,000 to $184,999",21,9,0,0,0,0,0,0,0,2,0,2,6,3,3,12,3,3,0,9
"$185,000 to $189,999",18,5,0,0,0,0,0,0,0,2,2,0,3,2,1,13,11,9,3,2
"$190,000 to $194,999",4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
"$195,000 to $199,999",14,11,0,3,0,3,0,0,0,0,0,0,7,1,6,3,3,3,0,0
"$200,000 and over",194,143,3,12,4,7,16,7,9,45,12,33,68,45,24,51,25,7,18,26
