Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over
....Total,16016,11256,747,2658,1308,1350,2086,1122,964,2565,1138,1427,3200,1555,1645,4759,2654,1468,1186,2106
"Under $5,000",959,767,104,129,75,54,121,59,62,188,72,116,224,113,111,192,127,76,51,65
"$5,000 to $9,999",827,533,56,121,62,59,59,17,43,89,39,50,207,83,125,293,131,72,59,163
"$10,000 to $14,999",1404,719,62,58,30,29,113,48,65,150,56,93,336,154,182,685,421,221,200,263
"$15,000 to $19,999",1328,722,74,100,43,57,132,65,67,136,42,94,280,145,135,606,313,170,143,293
"$20,000 to $24,999",1044,661,79,146,78,68,78,46,32,161,88,73,197,97,100,383,212,117,95,170
"$25,000 to $29,999",1042,682,74,168,87,81,76,56,20,154,66,88,209,95,114,361,186,91,95,175
"$30,000 to $34,999",981,662,61,219,116,103,118,75,44,120,52,68,144,75,69,319,157,79,78,161
"$35,000 to $39,999",935,697,41,191,108,82,146,90,56,147,65,82,172,65,107,238,110,52,58,127
"$40,000 to $44,999",806,610,33,173,87,86,117,65,51,161,86,75,127,68,59,196,120,82,38,76
"$45,000 to $49,999",654,467,5,147,70,77,90,54,36,102,52,50,123,58,65,187,126,88,37,61
"$50,000 to $54,999",809,608,25,186,93,93,128,63,66,104,46,59,164,73,91,201,113,70,44,88
"$55,000 to $59,999",547,445,8,126,48,78,114,57,57,114,40,74,82,44,38,103,59,37,22,43
"$60,000 to $64,999",484,371,16,131,60,70,75,44,31,78,46,32,71,33,37,113,68,41,28,45
"$65,000 to $69,999",472,373,10,101,41,59,68,21,47,96,39,57,98,48,50,99,54,41,13,45
"$70,000 to $74,999",438,361,16,87,43,44,64,31,33,115,49,66,80,51,28,78,43,18,25,35
"$75,000 to $79,999",325,248,31,63,24,39,60,40,20,49,16,33,46,14,31,77,49,24,25,28
"$80,000 to $84,999",352,274,3,59,21,38,79,46,32,89,58,31,44,14,30,78,40,14,26,38
"$85,000 to $89,999",223,173,0,46,20,27,44,20,25,55,31,24,28,23,5,50,32,16,15,18
"$90,000 to $94,999",205,163,19,36,24,12,35,20,15,26,15,12,46,28,18,42,21,12,9,21
"$95,000 to $99,999",158,130,6,15,13,2,22,13,9,23,7,16,64,36,28,28,14,7,7,15
"$100,000 to $104,999",278,242,4,56,30,26,74,37,37,45,28,17,63,25,38,35,19,14,6,16
"$105,000 to $109,999",141,104,0,22,11,11,23,18,5,30,12,18,29,16,12,37,23,19,4,14
"$110,000 to $114,999",141,102,0,29,8,21,20,16,3,24,14,10,28,3,26,40,30,10,19,10
"$115,000 to $119,999",129,99,3,15,9,6,18,11,6,26,15,11,37,22,15,30,9,1,7,21
"$120,000 to $124,999",90,66,10,11,4,7,28,15,13,11,6,5,7,2,4,24,24,10,14,0
"$125,000 to $129,999",118,87,3,26,15,10,12,10,2,22,7,15,26,13,13,31,20,15,5,12
"$130,000 to $134,999",62,59,0,18,11,8,12,6,7,17,4,14,11,7,4,3,0,0,0,3
"$135,000 to $139,999",72,52,0,14,3,11,7,0,7,10,2,8,21,16,5,21,10,3,7,11
"$140,000 to $144,999",85,66,4,13,6,8,11,6,5,13,8,5,23,11,12,20,16,16,1,3
"$145,000 to $149,999",59,42,0,6,3,2,24,18,6,4,3,1,8,7,1,17,8,4,4,9
"$150,000 to $154,999",107,86,0,24,12,12,18,12,6,26,11,15,18,8,10,21,8,2,6,13
"$155,000 to $159,999",47,28,0,3,0,3,2,2,0,8,4,4,15,10,5,18,13,8,4,6
"$160,000 to $164,999",69,65,0,20,16,4,4,4,0,19,4,16,20,20,0,4,4,0,4,0
"$165,000 to $169,999",21,15,0,0,0,0,1,0,0,8,1,7,6,1,5,6,0,0,0,6
"$170,000 to $174,999",36,22,0,0,0,0,6,4,2,8,4,4,9,0,9,14,7,5,1,7
"$175,000 to $179,999",38,32,0,9,0,9,0,0,0,3,0,3,20,16,4,6,2,0,2,5
"$180,000 to $184,999",51,44,0,10,3,7,12,4,7,12,7,5,9,5,5,8,0,0,0,8
"$185,000 to $189,999",20,16,0,0,0,0,4,0,4,12,8,4,0,0,0,4,4,0,4,0
"$190,000 to $194,999",32,27,0,9,5,4,7,3,4,9,3,6,2,2,0,5,5,2,3,0
"$195,000 to $199,999",30,23,0,6,4,2,4,4,0,1,0,1,12,3,9,7,4,0,4,3
"$200,000 and over",395,316,0,66,26,40,60,22,38,95,31,65,95,51,44,79,51,31,20,28
