Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over
....Total,"5,001","4,464",848,"1,686","1,085",601,693,427,266,595,288,307,643,375,267,538,372,199,173,165
"Under $5,000",156,147,61,34,31,4,11,4,7,18,8,10,24,10,13,9,8,2,6,0
"$5,000 to $9,999",52,44,17,5,4,1,3,0,2,13,7,6,7,3,2,8,7,8,0,0
"$10,000 to $14,999",100,78,16,14,8,6,11,5,7,11,12,0,25,7,18,22,13,11,3,9
"$15,000 to $19,999",121,88,37,9,5,4,9,4,5,16,7,9,17,9,8,33,24,13,12,8
"$20,000 to $24,999",147,135,55,27,14,13,5,3,2,31,8,23,17,12,5,12,10,7,3,3
"$25,000 to $29,999",143,127,36,28,19,10,15,10,5,21,7,14,28,9,19,15,15,10,6,0
"$30,000 to $34,999",192,158,51,38,28,10,33,18,13,23,5,18,14,7,6,34,20,6,14,15
"$35,000 to $39,999",180,157,51,33,27,7,15,7,8,26,10,15,32,16,16,23,15,6,9,10
"$40,000 to $44,999",169,154,34,54,38,16,28,20,8,22,8,13,15,14,1,15,13,8,5,2
"$45,000 to $49,999",180,162,50,41,31,10,21,9,12,18,6,12,32,24,8,18,10,6,5,8
"$50,000 to $54,999",173,141,40,57,29,28,15,4,9,9,5,3,22,14,7,32,18,7,10,13
"$55,000 to $59,999",165,147,32,50,25,25,38,28,10,4,0,4,24,16,7,17,18,11,7,0
"$60,000 to $64,999",193,166,45,69,41,30,21,10,11,10,5,6,20,13,8,28,24,9,13,4
"$65,000 to $69,999",217,185,41,85,58,27,14,9,4,21,11,10,25,14,10,32,20,6,14,12
"$70,000 to $74,999",148,136,26,59,46,13,14,14,0,9,2,7,27,21,7,11,4,4,0,7
"$75,000 to $79,999",201,189,22,98,56,42,21,12,9,23,17,6,24,7,18,11,6,1,4,6
"$80,000 to $84,999",148,125,27,46,35,11,29,20,11,11,5,5,13,8,4,23,15,15,0,8
"$85,000 to $89,999",142,139,23,68,48,19,11,7,3,15,4,11,21,12,9,3,3,3,0,0
"$90,000 to $94,999",131,106,5,54,41,13,9,6,3,26,13,12,12,5,7,25,22,17,6,2
"$95,000 to $99,999",120,105,12,53,30,23,12,11,1,13,6,8,16,10,5,14,7,1,6,6
"$100,000 to $104,999",162,148,16,58,41,17,43,24,19,19,8,11,12,8,5,15,11,9,2,3
"$105,000 to $109,999",131,124,18,51,39,12,25,22,3,10,3,7,20,13,9,7,6,4,1,1
"$110,000 to $114,999",111,98,8,38,29,8,18,10,9,21,15,6,15,12,2,12,7,0,8,5
"$115,000 to $119,999",104,94,15,40,32,8,13,10,4,18,12,6,8,4,4,10,3,4,0,6
"$120,000 to $124,999",134,127,20,73,53,19,18,15,3,8,4,4,7,0,8,7,4,0,4,3
"$125,000 to $129,999",79,74,8,30,25,7,14,8,6,8,4,4,12,5,6,5,2,1,1,2
"$130,000 to $134,999",114,104,9,44,21,22,20,13,6,22,9,12,11,7,4,9,9,9,0,1
"$135,000 to $139,999",88,83,6,39,11,28,17,9,7,5,1,4,15,7,8,4,1,0,0,3
"$140,000 to $144,999",41,38,8,8,6,1,4,4,1,14,14,0,6,6,0,2,0,0,0,2
"$145,000 to $149,999",73,61,0,18,6,12,20,15,5,9,6,4,13,6,8,13,7,4,3,5
"$150,000 to $154,999",77,69,23,20,18,3,18,7,11,0,0,0,7,4,4,8,7,0,7,1
"$155,000 to $159,999",48,49,6,25,12,13,8,2,6,4,4,0,5,5,0,0,0,0,0,0
"$160,000 to $164,999",61,60,5,38,21,17,4,2,1,11,4,7,5,4,1,1,0,0,0,0
"$165,000 to $169,999",35,30,4,14,7,6,3,3,1,4,0,4,6,1,5,5,1,1,0,4
"$170,000 to $174,999",28,26,0,10,6,4,5,0,5,5,5,0,5,0,4,2,2,0,3,0
"$175,000 to $179,999",24,24,0,13,6,7,4,2,3,4,2,2,3,0,3,1,0,0,0,0
"$180,000 to $184,999",32,28,0,15,6,9,10,10,1,3,0,2,0,0,0,4,0,0,0,4
"$185,000 to $189,999",42,38,3,13,6,7,17,15,2,3,3,0,2,1,0,5,2,2,0,3
"$190,000 to $194,999",28,22,2,12,7,5,5,3,2,0,0,0,3,3,0,6,6,3,2,0
"$195,000 to $199,999",44,42,4,17,10,7,12,7,4,1,2,0,8,8,0,2,2,2,0,0
"$200,000 and over",470,431,11,186,107,78,80,44,36,89,44,43,66,50,16,39,29,9,20,10
