Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over,Mean age of householder
....Total,6424,5694,884,1436,748,688,1285,675,611,1211,651,560,877,498,380,730,385,226,159,344,43.2
"Under $5,000",159,137,28,20,16,4,29,16,13,34,18,15,27,16,10,22,17,16,1,5,44.5
"$5,000 to $9,999",94,83,18,17,12,5,18,7,10,13,9,4,17,12,6,11,11,5,6,0,42.4
"$10,000 to $14,999",187,154,31,38,18,19,24,12,12,22,7,15,39,13,26,34,11,6,6,23,46.9
"$15,000 to $19,999",230,193,31,53,26,27,32,24,8,33,22,10,43,23,20,37,11,7,4,26,45.4
"$20,000 to $24,999",297,270,51,75,46,29,61,29,32,44,13,31,39,24,15,27,17,14,3,10,40.9
"$25,000 to $29,999",276,237,38,38,13,26,63,34,30,54,28,26,44,31,13,38,22,17,5,16,45.3
"$30,000 to $34,999",331,280,52,69,35,34,68,37,31,35,23,13,55,27,29,51,22,16,6,29,44.2
"$35,000 to $39,999",362,313,57,79,36,43,79,45,34,53,32,22,45,27,18,49,16,3,13,33,43.5
"$40,000 to $44,999",306,266,37,76,49,27,62,36,26,51,25,26,40,21,19,40,29,20,9,11,43.2
"$45,000 to $49,999",351,311,53,92,37,55,45,29,16,70,33,36,51,35,16,40,19,13,7,21,42.7
"$50,000 to $54,999",312,282,36,82,39,43,48,25,23,75,45,31,41,14,27,30,11,8,3,19,43.4
"$55,000 to $59,999",253,233,32,57,40,17,59,28,32,51,30,21,33,21,12,19,10,3,7,9,41.9
"$60,000 to $64,999",247,230,46,60,38,22,48,30,18,51,19,32,24,14,10,18,10,2,7,8,40.3
"$65,000 to $69,999",237,204,14,70,40,31,46,25,21,45,32,13,29,10,18,33,18,8,10,16,44.6
"$70,000 to $74,999",236,208,35,34,24,11,51,23,27,57,33,24,31,21,10,28,19,2,17,9,44.2
"$75,000 to $79,999",228,208,31,72,41,31,52,29,23,34,14,20,19,10,9,19,8,6,2,11,40
"$80,000 to $84,999",249,230,34,63,19,43,49,31,19,49,29,20,35,9,26,20,15,11,4,5,42
"$85,000 to $89,999",152,128,16,40,26,14,23,16,8,33,23,10,16,8,8,24,12,7,5,12,44.1
"$90,000 to $94,999",169,157,19,49,20,29,37,14,23,30,22,8,21,17,4,13,6,5,2,6,41.2
"$95,000 to $99,999",160,152,26,40,13,28,33,14,19,33,18,15,20,17,3,8,3,2,1,5,41
"$100,000 to $104,999",185,157,25,38,11,27,26,7,18,46,28,18,23,11,12,28,14,5,9,14,45.4
"$105,000 to $109,999",107,94,11,14,8,6,36,26,10,17,8,9,16,12,4,13,10,7,3,3,43.7
"$110,000 to $114,999",114,98,13,15,14,1,22,13,9,32,16,16,16,8,7,16,10,7,3,6,45.9
"$115,000 to $119,999",83,77,15,25,10,15,21,12,9,12,4,9,4,4,0,6,2,2,0,4,37.8
"$120,000 to $124,999",69,67,8,17,9,8,26,14,12,11,11,0,5,3,2,2,2,2,0,0,38.6
"$125,000 to $129,999",77,66,11,18,10,8,11,2,9,17,7,9,9,4,5,11,8,4,3,3,43.9
"$130,000 to $134,999",77,65,5,9,3,6,25,16,10,18,11,7,9,8,1,12,1,0,1,10,47.1
"$135,000 to $139,999",80,74,8,15,11,4,22,3,19,20,10,10,9,7,3,6,6,4,3,0,43.2
"$140,000 to $144,999",68,63,11,19,10,9,19,9,10,10,4,6,4,4,0,5,2,1,2,3,38.4
"$145,000 to $149,999",43,39,4,12,3,9,7,2,5,7,5,2,8,6,2,4,0,0,0,4,44.3
"$150,000 to $154,999",77,69,2,13,12,1,21,5,15,16,10,6,18,8,10,8,4,0,4,4,48
"$155,000 to $159,999",49,43,11,9,6,3,8,6,2,10,4,6,6,4,2,6,3,0,3,2,42.1
"$160,000 to $164,999",34,32,2,6,0,6,12,8,4,11,3,8,0,0,0,2,2,1,0,0,41.3
"$165,000 to $169,999",44,39,9,15,10,5,4,0,4,10,5,4,2,2,0,5,5,2,3,0,39.1
"$170,000 to $174,999",35,35,2,5,2,3,9,7,3,7,3,4,12,4,8,1,1,1,0,0,46.2
"$175,000 to $179,999",18,16,4,2,0,2,1,0,0,8,6,2,1,1,0,2,0,0,0,2,44.7
"$180,000 to $184,999",21,19,8,4,0,4,6,4,2,2,1,1,0,0,0,2,0,0,0,2,35.4
"$185,000 to $189,999",26,26,2,9,9,0,0,0,0,7,4,3,8,8,0,0,0,0,0,0,40.3
"$190,000 to $194,999",22,22,4,3,3,0,5,5,0,5,3,1,5,5,0,0,0,0,0,0,38.8
"$195,000 to $199,999",22,12,2,2,0,2,0,0,0,7,2,5,0,0,0,10,2,0,2,8,58.7
"$200,000 and over",335,304,44,59,29,29,75,32,44,72,31,41,54,31,24,32,23,17,6,8,44
