Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over
....Total,15423,12982,1242,3055,1546,1508,3478,1843,1635,3036,1608,1428,2171,1221,950,2441,1371,787,584,1070
"Under $5,000",842,783,122,239,133,106,209,130,79,148,78,70,65,27,38,59,30,17,13,29
"$5,000 to $9,999",657,600,65,217,135,82,139,76,64,101,56,45,78,49,29,57,39,23,16,18
"$10,000 to $14,999",894,748,85,209,102,108,229,121,108,154,95,59,71,33,38,146,81,48,33,64
"$15,000 to $19,999",977,822,90,195,84,111,260,142,118,159,77,81,119,75,45,154,79,37,42,75
"$20,000 to $24,999",1043,895,98,240,124,116,233,134,99,166,87,79,157,95,63,149,81,47,35,68
"$25,000 to $29,999",950,799,87,230,126,104,207,112,96,174,110,63,102,54,49,150,87,48,39,63
"$30,000 to $34,999",1041,864,66,261,122,139,230,133,97,184,93,91,122,67,55,178,84,46,38,94
"$35,000 to $39,999",974,790,70,207,81,126,224,149,75,165,98,67,124,67,58,184,109,72,37,75
"$40,000 to $44,999",800,653,52,139,58,81,189,99,90,144,71,73,128,76,52,147,66,34,32,81
"$45,000 to $49,999",722,585,45,106,52,55,185,95,90,156,84,72,94,48,46,136,74,39,35,62
"$50,000 to $54,999",680,568,61,103,39,65,156,75,81,141,84,57,106,50,56,112,53,29,25,59
"$55,000 to $59,999",543,448,22,122,63,58,108,60,47,127,51,76,69,42,27,95,45,29,16,50
"$60,000 to $64,999",524,449,42,84,42,41,112,58,54,119,63,56,91,35,57,76,37,30,7,38
"$65,000 to $69,999",504,407,39,92,38,54,96,51,46,113,62,51,68,38,29,97,61,40,21,36
"$70,000 to $74,999",442,354,36,76,44,32,101,56,45,74,53,21,67,53,14,88,38,24,14,49
"$75,000 to $79,999",424,365,21,47,31,16,84,55,29,114,55,60,99,66,33,59,39,23,15,20
"$80,000 to $84,999",389,321,27,52,18,34,102,56,47,82,54,28,58,28,30,67,37,17,20,31
"$85,000 to $89,999",318,274,22,55,24,31,80,22,58,58,35,24,59,37,23,44,35,22,12,9
"$90,000 to $94,999",316,252,24,65,36,29,61,23,38,59,32,27,44,34,10,64,33,17,15,31
"$95,000 to $99,999",217,184,16,27,18,8,36,17,19,76,36,40,29,14,15,33,19,3,15,14
"$100,000 to $104,999",217,182,21,29,17,12,44,17,27,61,34,26,28,14,14,35,25,17,8,10
"$105,000 to $109,999",164,127,13,14,6,8,32,9,23,47,25,21,21,12,9,37,30,18,13,6
"$110,000 to $114,999",178,145,4,23,9,14,44,19,24,39,22,18,34,22,13,33,26,17,8,7
"$115,000 to $119,999",123,105,6,12,6,6,28,9,19,28,13,15,30,14,15,18,14,6,9,4
"$120,000 to $124,999",120,100,15,16,5,11,17,9,8,34,10,25,18,11,6,20,12,9,3,8
"$125,000 to $129,999",121,108,7,33,24,9,33,13,19,19,11,7,16,12,4,13,10,3,7,3
"$130,000 to $134,999",106,97,3,21,15,6,15,6,9,32,14,17,26,18,7,9,8,2,6,1
"$135,000 to $139,999",93,82,9,13,11,2,14,12,2,13,3,11,34,21,12,11,6,4,2,5
"$140,000 to $144,999",80,72,2,27,19,7,16,4,12,15,6,9,12,4,8,8,4,0,4,4
"$145,000 to $149,999",88,62,0,6,6,0,15,7,8,22,8,14,19,14,5,26,18,12,6,8
"$150,000 to $154,999",90,77,6,13,11,2,13,7,6,28,5,22,18,5,13,13,7,4,3,6
"$155,000 to $159,999",72,66,7,11,1,10,18,13,5,19,10,9,11,3,8,6,4,4,0,2
"$160,000 to $164,999",73,67,10,4,4,1,9,0,9,19,15,4,24,8,16,7,1,0,1,6
"$165,000 to $169,999",47,42,4,0,0,0,9,5,4,15,6,9,14,6,7,5,2,2,0,3
"$170,000 to $174,999",37,27,2,3,3,0,6,2,4,9,5,4,7,4,4,10,10,4,6,0
"$175,000 to $179,999",30,21,0,2,0,2,6,4,2,8,2,6,5,1,4,9,5,5,0,4
"$180,000 to $184,999",55,43,3,8,6,2,8,6,2,13,8,5,10,9,2,13,8,6,2,5
"$185,000 to $189,999",28,15,1,5,0,5,4,2,2,2,0,2,4,1,3,13,5,3,3,8
"$190,000 to $194,999",42,34,0,3,3,0,12,7,5,5,5,0,14,11,3,7,7,2,5,0
"$195,000 to $199,999",26,19,3,0,0,0,11,2,9,3,0,3,2,2,0,7,7,2,5,0
"$200,000 and over",377,331,36,45,29,16,86,30,56,92,32,60,71,40,31,46,34,22,12,12
